# Điểm trúng tuyển các năm của Trường Đại học Nha Trang
Source: https://tuyensinh.ntu.edu.vn/diem-trung-tuyen-cac-nam
## Bang 1
- TT | Mã ngành | Tên ngành, chương trình đào tạo | Điểm thi TN THPT 2025 | - | Điểm ĐGNL ĐHQG-HCM 2025 | Điểm ĐGNL ĐHQG-HN 2025 | Điểm điều kiện tiếng Anh (Học bạ THPT)
- TT | Mã ngành | Tên ngành, chương trình đào tạo | Tổ hợp có môn Toán hệ số 1 | Tổ hợp có môn Toán hệ số 2; hoặc Tiếng Anh hệ số 2 | Điểm ĐGNL ĐHQG-HCM 2025 | Điểm ĐGNL ĐHQG-HN 2025 | Điểm điều kiện tiếng Anh (Học bạ THPT)
- I | Chương trình đào tạo đặc biệt | - | - | - | - | - | -
- - Công nghệ kỹ thuật cơ khí: Tổ hợp A00; A01; C01; D07 | 160 | 130 | 15,0
- - Công nghệ kỹ thuật cơ điện tử: Tổ hợp A00; A01; C01; D07 | 70 | 60 | 16,0
- - Công nghệ kỹ thuật nhiệt: Tổ hợp A00; A01; C01; D07 | 30 | 48 | 15,0
- - Công nghệ kỹ thuật ô tô: Tổ hợp A00; A01; C01; D07 | 170 | 172 | 17,5
- - Kỹ thuật tàu thủy: Tổ hợp A00; A01; C01; D07 | 60 | 46 | 15,0
- - Khoa học hàng hải: Tổ hợp A00; A01; C01; D07 | 50 | 10 | 15,0
- - Công nghệ kỹ thuật xây dựng: Tổ hợp A00; A01; C01; D90 | 120 | 90 | 15,0
- - Công nghệ thông tin: Tổ hợp A00; A01; C01; D01 | 140 | 125 | 16,5
- - Hệ thống thông tin quản lý: Tổ hợp A00; A01; C01; D01 | 60 | 29 | 15,0
- - Công nghệ thực phẩm: Tổ hợp A00; A01; B00; D07 | 200 | 173 | 17,0
- - Công nghệ chế biến thủy sản: Tổ hợp A00; A01; B00; D07 | 70 | 45 | 15,0
- - Công nghệ sau thu hoạch: Tổ hợp A00; A01; B00; D07 | 70 | 20 | 15,0
- - Công nghệ kỹ thuật hóa học: Tổ hợp A00; B00; C02; D07 | 60 | 33 | 15,0
- - Công nghệ kỹ thuật môi trường: Tổ hợp A00; A01; A02; B00 | 120 | 38 | 16,0
- - Công nghệ sinh học: Tổ hợp A00; A02; B00; D08 | 100 | 49 | 16,0
- Tổng chỉ tiêu tuyển sinh | 2.900 | - | -
- «
- 1
- »
Tư vấn
- ĐT: 0258 383 1148
- ĐT: 0258 2212 579
- Email: tuyensinh@ntu.edu.vn
- Fanpage: Tuyển sinh Đại học Nha Trang
