# Điểm trúng tuyển các năm của Trường Đại học Nha Trang
Source: https://tuyensinh.ntu.edu.vn/diem-trung-tuyen-cac-nam
## Bang 1
- TT | Mã ngành | Tên ngành, chương trình đào tạo | Điểm thi TN THPT 2025 | - | Điểm ĐGNL ĐHQG-HCM 2025 | Điểm ĐGNL ĐHQG-HN 2025 | Điểm điều kiện tiếng Anh (Học bạ THPT)
- TT | Mã ngành | Tên ngành, chương trình đào tạo | Tổ hợp có môn Toán hệ số 1 | Tổ hợp có môn Toán hệ số 2; hoặc Tiếng Anh hệ số 2 | Điểm ĐGNL ĐHQG-HCM 2025 | Điểm ĐGNL ĐHQG-HN 2025 | Điểm điều kiện tiếng Anh (Học bạ THPT)
- I | Chương trình đào tạo đặc biệt | - | - | - | - | - | -
- 45 | 7840106 | Khoa học hàng hải (02 chuyên ngành: Khoa học hàng hải; Quản lý hàng hải và Logistics) | A01; D01; D07; D90 | 21,0 | 4,5 | TO; VL; TA; CN | 30 | 6 | 700 | 120
### Bang 3
- TT | Mã ngành | Tên ngành, chương trình đào tạo | Tổ hợp xét điểm thi THPT | Điểm chuẩn trúng tuyển Điểm thi THPT (Thang điểm 30) | Điểm tiếng Anh thi THPT | Tổ hợp xét học bạ THPT | Điểm trúng tuyển Học bạ THPT (thang điểm 40) | Điểm tiếng Anh học bạ | Điểm trúng tuyển điểm thi ĐGNL TP.HCM (thang điểm 1200) | Điểm tiếng Anh ĐGNL
- I | Chương trình đặc biệt | - | - | - | - | - | - | - | - | -
- 1 | 7540105MP | Công nghệ chế biến thuỷ sản (Chương trình Minh Phú - NTU) | A01; B00; D01; D07 | 16,5 | - | TO; VL; HH; SH | 24 | - | 550 | -
- 2 | 7620301MP | Nuôi trồng thuỷ sản (Chương trình Minh Phú - NTU) | A01; B00; D01; D07 | 16,5 | - | TO; VL; HH; SH | 24 | - | 550 | -
- 3 | 7340101A | Quản trị kinh doanh (Chương trình song ngữ Anh-Việt) | A01; D01; D07; D96 | 20,5 | 6 | TA; LS; ĐL; GDCD | 28 | 6 | 675 | 120
- 4 | 7340301PHE | Kế toán (Chương trình song ngữ Anh-Việt) | A01; D01; D07; D96 | 20,0 | 5,5 | TA; LS; ĐL; GDCD | 28 | 6 | 650 | 110
- 5 | 7480201PHE | Công nghệ thông tin (Chương trình song ngữ Anh-Việt) | A01; D01; D07; D90 | 20,0 | 5,5 | TO; VL; TH; CN | 28 | 6 | 650 | 100
- 6 | 7810201PHE | Quản trị khách sạn (Chương trình song ngữ Anh-Việt) | A01; D01; D07; D96 | 22,0 | 6 | TA; LS; ĐL; GDCD | 27 | 6 | 650 | 120
